,Film,Film Studio/Producer(s),Award,Year of Release,Movie Time,Movie Genre,IMDB Rating,Movie Info,Critic Consensus,Content Rating,Directors,Actors,Streaming Release Date,Tomatometer Status,Tomatometer Rating,Audience Status,Audience Rating,Film ID
204,The Ten Commandments,Cecil B. DeMille,Nominee,1956,220,"Adventure,Drama",7.9,"Enjoying a life of ease in the court of Egypt's pharaoh, Moses (Charlton Heston) discovers his Hebrew heritage and, later, God's expectations of him. He dedicates himself to liberating his people from captivity and -- with the aid of plagues and divine intervention -- manages to lead them out of Egypt and across the Red Sea. A greater challenge comes in the form of the golden calf idol, however, and it takes an unforgettable visitation by God on Mount Sinai for Moses' mission to prevail.","Bombastic and occasionally silly but extravagantly entertaining, Cecil B. DeMille's all-star spectacular is a muscular retelling of the great Bible story.",G,Cecil B. DeMille,"Charlton Heston, Yul Brynner, Anne Baxter, Edward G. Robinson, Yvonne De Carlo, Debra Paget, John Derek, Cedric Hardwicke, Nina Foch, Martha Scott, Judith Anderson, Vincent Price, Olive Deering, John Carradine, Eduard Franz, Donald Curtis, Douglass Dumbrille, Lawrence Dobkin, Frank de Kova, H.B. Warner, Henry Wilcoxon, Julia Faye, Lisa Mitchell, Noelle Williams, Joanna Merlin, Pat Richard, Joyce Vanderveen, Diane Hall, Abbas El Boughdadly, Fraser C. Heston, Eugene Mazzola, John Miljan, Ramsay Hill, Tommy Duran, Francis McDonald, Ian Keith, Joan Woodbury, Ramsey Hill, Woody Strode, Dorothy Adams, Eric Alden, Henry Brandon, Mike Connors, Henry Corden, Edna Mae Cooper, Abbas El Bougbdadly, Kem Dibbs, Fred Kohler Jr., Gail Kobe, John Merton, Mena Mohamed, Addison Richards, Onslow Stevens, Clint Walker, Frank Wilcox, Luis Alberni, Michael Ansara, Fred Coby, Tony Dante, Frankie Darro, Edward Earle, Olive Carey, Franklyn Farnum, John Hart, Ed Hinton, Walter Woolf King, Frank Lackteen, Emmett Lynn, Stanley Price, Bob Carson, Herb Alpert, E.J. Andre, Esther Brown, Robert Clarke, Mary Benoit, Paul De Rolf, Zeev Bufman, Kathy Garver, Maude Fealy, George Melford, Mimi Gibson, Nancy Hale, Jeane Wood, Lillian Albertson, Richard Kean, Joel Ashley, George Baxter, Robert Bice, Kenneth MacDonald, Peter Coe, Peter Mamakos, Steve Darrell, Irene Martin, Matty Fain, Paula Morgan, John Parrish, Anthony George, Rodd Redwing, Gavin Gordon, Kay Hammond, Peter Hanson, Adeline de Walt Reynolds, Irene Tedrow, Barry Macollum, Baynes Barron, Ken Dibbs, Carl ""Alfalfa"" Switzer, Keith Richards (II), James Coburn, Moe DiSesso, Franklin Farnum, Eugenia Strauss, Lisa Lee Mitchell, Robert Vaughn, Michael Connors, Steven Darrell, Robert Carson, Cecil B. DeMille, Keith Richards (I)",2016-11-24,Fresh,89.0,Upright,87.0,7f920258-daa7-4df8-84f1-2f41ddb99b9d
205,The Bridge on the River Kwai,Sam Spiegel,Winner,1957,161,"Adventure,Drama,War",8.1,"Adaptation of the Pierre Bouelle novel about POWs in Burma forced to build a bridge to aid the war effort of their Japanese captors. British and American officers plot to blow up the structure, but the commander of the bridge's construction has different plans.","This complex war epic asks hard questions, resists easy answers, and boasts career-defining work from star Alec Guinness and director David Lean.",PG,David Lean,"William Holden, Alec Guinness, Sessue Hayakawa, Jack Hawkins, James Donald, Geoffrey Horne, Peter Williams, Andre Morrell, John Boxer, Percy Herbert, Harold Goodwin, Ann Sears, Henry Okawa, K. Katsumoto, M.R.B. Chakrabandhu, Vilaiwan Seeboonreaung, Ngamta Suphaphongs, Javanart Punynchoti, Kannikar Wowklee, André Morell",2013-05-03,Certified-Fresh,95.0,Upright,93.0,fc627090-b4c0-418b-8437-94b0f41d9bba
210,Gigi,Arthur Freed,Winner,1958,115,"Comedy,Musical,Romance",6.7,"Gaston (Louis Jourdan) is a restless Parisian playboy who moves from one mistress to another, while also spending time with Gigi (Leslie Caron), a precocious younger friend learning the ways of high society. The platonic relationship between Gaston and Gigi changes, however, when she matures, but the possibility of something lasting seems unlikely since he won't commit to one woman. Gigi refuses to be anyone's mistress, however, and Gaston must choose between her and his carefree lifestyle.","It may not be one of Vincente Minnelli's best, but the charming and flawlessly acted Gigi still offers enough visual and musical treats to satisfy.",G,Vincente Minnelli,"Leslie Caron, Louis Jourdan, Maurice Chevalier, Hermione Gingold, Eva Gabor, Isabel Jeans, Jacques Bergerac, John Abbott, Monique van Vooren, Lydia Stevens, Edwin Jerome, Dorothy Neumann, Marilyn Sims, Richard Bean, Pat Sheahan, Leroy Winebrenner, Marya Ploss, Jack Trevan",2016-04-19,Fresh,81.0,Upright,74.0,7d5a1db5-c60e-458c-9f9e-4ce599f4118a
215,Ben-Hur,Sam Zimbalist,Winner,1959,212,"Adventure,Drama,History",8.1,"Charlton Heston plays a Palestinian Jew who is battling the Roman empire at the time of Christ. His actions send him and his family into slavery, but an inspirational encounter with Jesus changes everything. Heston finally meets his rival in a justly famous chariot race and rescues his suffering family.","Uneven, but in terms of epic scope and grand spectacle, Ben-Hur still ranks among Hollywood's finest examples of pure entertainment.",G,William Wyler,"Charlton Heston, Jack Hawkins, Stephen Boyd, Haya Harareet, Martha Scott, Sam Jaffe, Cathy O'Donnell, Finlay Currie, Frank Thring, George Relph, Marina Berti, Hugh Griffith, Terence Longdon, André Morell, Adi Berber, Claude Heater, José Greci, Richard Hale, Dino Fazio, Stella Vitelleschi, Laurence Payne, John Horsley, Richard Coleman, Duncan Lamont, Ralph Truman, Reginald Lal Singh, David Davies, Dervis Ward, Mino Doro, Robert Brown, John Glenn, Maxwell Shaw, Emilio Carrer, Tutte Lemkow, Howard Lang, John Le Mesurier, Stevenson Lang, Aldo Mozele, Thomas James O'Leary, Noel Sheldon, Hector Ross, Al Silvani, Bill Kuehl, Aldo Silvani, Diego Pozzetto, Michael Cosmo, Aldo Pial, Remington Olmstead, Victor De La Fosse, Enzo Fiermonte, Hugh Billingsley, Tiberio Mitri, Pietro Tordi, Jerry Brown, Otello Capanna, Luigi Marra, Cliff Lyons, Edward J. Auregul, Joe Yrigoyen, Alfredo Danesi, Raimondo Van Riel, Michael Dugan, Joe Canutt, Karl Tunberg, Ferdinand ""Ferdy"" Mayne, John Zaccaro",2013-04-30,Certified-Fresh,86.0,Upright,89.0,0bb257f6-e9ee-4afd-b8f0-69c2ea1167ae
216,Anatomy of a Murder,Otto Preminger,Nominee,1959,161,"Crime,Drama,Mystery",8.0,"Semi-retired Michigan lawyer Paul Biegler (James Stewart) takes the case of Army Lt. Manion (Ben Gazzara), who murdered a local innkeeper after his wife (Lee Remick) claimed that he raped her. Over the course of an extensive trial, Biegler parries with District Attorney Lodwick (Brooks West) and out-of-town prosecutor Claude Dancer (George C. Scott) to set his client free, but his case rests on the victim's mysterious business partner (Kathryn Grant), who's hiding a dark secret.","One of cinema's greatest courtroom dramas, Anatomy of a Murder is tense, thought-provoking, and brilliantly acted, with great performances from James Stewart and George C. Scott.",G,Otto Preminger,"James Stewart, Lee Remick, Ben Gazzara, Arthur O'Connell, Eve Arden, Kathryn Grant, Joseph Welch, Joseph N. Welch, Douglas Brooks West, George C. Scott, Murray Hamilton, Orson Bean, Alexander Campbell, Joseph Kearns, Russ Brown, Howard McNear, Ned Wever, Jimmy Conlin, Ken Lynch, Don Ross, Lloyd Le Vasseur, Royal Beal, John Qualen, James Waters, Duke Ellington, Irving Kupcinet",2012-04-16,Certified-Fresh,100.0,Upright,90.0,326c4a14-173e-40e2-a943-bc8e7f61128c
220,The Apartment,Billy Wilder,Winner,1960,125,"Comedy,Drama,Romance",8.3,"Insurance worker C.C. Baxter (Jack Lemmon) lends his Upper West Side apartment to company bosses to use for extramarital affairs. When his manager Mr. Sheldrake (Fred MacMurray) begins using Baxter's apartment in exchange for promoting him, Baxter is disappointed to learn that Sheldrake's mistress is Fran Kubelik (Shirley MacLaine), the elevator girl at work whom Baxter is interested in himself. Soon Baxter must decide between the girl he loves and the advancement of his career.","Director Billy Wilder's customary cynicism is leavened here by tender humor, romance, and genuine pathos.",NR,Billy Wilder,"Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston, Jack Kruschen, Joan Shawlee, David Lewis, Edie Adams, Hope Holiday, Johnny Seven, Naomi Stevens, Francis Lax, Joyce Jameson, Willard Waterman, David White, Benny Burt, Hal Smith, Dorothy Abbott",2016-03-29,Certified-Fresh,93.0,Upright,94.0,bec485c9-8736-4ec5-8275-478478dc1d20
221,The Alamo,John Wayne,Nominee,1960,162,"Adventure,Drama,History",6.8,"In 1836, the Mexican army, led by General Santa Anna, is invading Texas. Hoping to create a diversion for Santa Anna's forces, General Sam Houston (Richard Boone) orders Colonel William B. Travis (Laurence Harvey), joined by Colonels Jim Bowie (Richard Widmark) and Davy Crockett (John Wayne), to lead a small, heroic band of American and Texican fighters in a resistance battle at the Alamo mission. The carnage at the Alamo further spurs the Republic of Texas toward freedom.","John Wayne proves to be less compelling behind the camera than he is before it in The Alamo, a blustery dramatization of the fort's last stand that feels more like a first draft.",NR,John Wayne,"John Wayne, Richard Widmark, Laurence Harvey, Richard Boone, Frankie Avalon, Patrick Wayne, Linda Cristal, Joan O'Brien, Chill Wills, Joseph Calleia, Ken Curtis, Carlos Arruza, Jester Hairston, Veda Ann Borg, John Dierkes, Denver Pyle, Aissa Wayne, Hank Worden, William Henry, Bill Daniel, Wesley Lau, Chuck Roberson, Guinn 'Big Boy' Williams, Olive Carey, Ruben Padilla, Jack Pennick, Carol Baxter, Fred Graham, Cy Malis, Boyd 'Red' Morgan, Gil Perkins, Chuck Hayward, Buff Brady, Bill Shannon, Ted White, Jim Burk, Mickey Finn, Dean Smith, George Ross, Big John Hamilton, Robert H. Harris, Jim Wright, Leroy Johnson, Jim Walker, Jack Miller, Danny Borzage, Tap Canutt, Jack Williams, Alfred Taylor, Ed Carter, Miguel Garza, Jerry Phillips, Charles Sanders, Charles Akins, Joe Jackson, Ronald Lee, Joe Graham, Rudy Robbins, Jim Brewer",2016-11-30,Rotten,52.0,Upright,63.0,547529c6-55ca-4007-be9d-d064b271c15e
225,West Side Story,Robert Wise,Winner,1961,153,"Crime,Drama,Musical",7.5,"A musical in which a modern day Romeo and Juliet are involved in New York street gangs. On the harsh streets of the upper west side, two gangs battle for control of the turf. The situation becomes complicated when a gang members falls in love with a rival's sister.","Buoyed by Robert Wise's dazzling direction, Leonard Bernstein's score, and Stephen Sondheim's lyrics, West Side Story remains perhaps the most iconic of all the Shakespeare adaptations to visit the big screen.",PG,"Robert Wise, Jerome Robbins","Natalie Wood, Richard Beymer, Rita Moreno, George Chakiris, Russ Tamblyn, Simon Oakland, William Bramley, Bill Bramley, Ned Glass, John Astin, Penny Santon, Tucker Smith, Tony Mordente, Eliot Feld, David Winters, Burt Michaels, Robert Banas, Scooter Teague, Tommy Abbott, Harvey Hohnecker, David Bean, Sue Oakes, Gina Trikonis, Carole D'Andrea, Jose De Vega, Bert Michaels, Jay Norman, Gus Trikonis, Robert Thompson, Anthony Teague, Larry Roquemore, Thomas Abbott, Jaime Rogers, Eddie Verso, Andre Tayir, Nich Covvacevich, Rudy Del Campo, Suzie Kaye, Yvonne Othon, Joanna Miya, Jo Anne Miya, Jimmy Bryant, Harvey Hobnecker, Marni Nixon, John Zaccaro, Johnny Green",2015-09-20,Certified-Fresh,92.0,Upright,84.0,ef8f5e5d-f603-44ab-b358-091f26b0da7b
227,The Guns of Navarone,Carl Foreman,Nominee,1961,158,"Action,Adventure,Drama",7.5,"In 1943, a small commando team is sent to destroy huge German guns on the Greek Island of Navarone in order to rescue Allied troops trapped on Kheros. Led by British Major Franklin (Anthony Quayle), the team includes American Mallory (Gregory Peck), Greek resistance fighter Stavros (Anthony Quinn) and reluctant explosives expert Miller. Facing impossible odds, the men battle stormy seas and daunting cliffs. When Franklin is injured, Mallory takes command, and personal enmities spill over.","Bolstered by a cast of memorable stars and an impressive sense of scale, The Guns of the Navarone fires with vivid characterization and entertaining spectacle.",PG,J. Lee Thompson,"Gregory Peck, David Niven, Anthony Quinn, Stanley Baker, Anthony Quayle, Irene Papas, Gia Scala, James Darren, Richard Harris, Bryan Forbes, Allan Cuthbertson, Michael Trubshawe, Percy Herbert, George Mikell, Walter Gotell, Tutte Lemkow, Albert Lieven, Norman Wooland, Cleo Scouloudi, Nicholas Papakonstantantinou, Christopher Rhodes, J. Lee Thompson, James Robertson Justice",2013-05-07,Fresh,92.0,Upright,86.0,ea4834bd-a58a-44a0-b796-7e54e3422e90
228,The Hustler,Robert Rossen,Nominee,1961,134,"Drama,Sport",8.0,Story Fast Eddie Felsen (Paul Newman) and his adventures in the world of professional pool. Fast Eddie is a young hopeful on his way to challenging Minnesota Fats (Jackie Gleason) for his world title. When he starts getting feelings for a woman he gets into a dilemma.,"Paul Newman and Jackie Gleason give iconic performances in this dark, morally complex tale of redemption.",NR,Robert Rossen,"Paul Newman, Jackie Gleason, Piper Laurie, George C. Scott, Myron McCormick, Murray Hamilton, Michael Constantine, Stefan Gierasch, Jake LaMotta, Gordon B. Clarke, Alexander Rose, Carolyn Coates, Carl York, Vincent Gardenia, Tom Aheame, Gloria Cramer Curtis, Charles Dierkop, Donald Crabtree, Clifford A. Pellow, William Adams, Brendan Fay, Cliff Pellow, Charles Andre, Willie Mosconi, Don de Leo, Don Koll, Tom Ahearne, Charles McDaniel, Sid Raymond, Art Smith",2015-11-25,Certified-Fresh,98.0,Upright,93.0,0d5ee029-1350-4625-b906-afc878129ecf
230,Lawrence of Arabia,Sam Spiegel,Winner,1962,228,"Adventure,Biography,Drama",8.3,"Due to his knowledge of the native Bedouin tribes, British Lieutenant T.E. Lawrence (Peter O'Toole) is sent to Arabia to find Prince Faisal (Alec Guinness) and serve as a liaison between the Arabs and the British in their fight against the Turks. With the aid of native Sherif Ali (Omar Sharif), Lawrence rebels against the orders of his superior officer and strikes out on a daring camel journey across the harsh desert to attack a well-guarded Turkish port.","The epic of all epics, Lawrence of Arabia cements director David Lean's status in the filmmaking pantheon with nearly four hours of grand scope, brilliant performances, and beautiful cinematography.",PG,David Lean,"Peter O'Toole, Alec Guinness, Omar Sharif, Anthony Quinn, Jack Hawkins, José Ferrer, Anthony Quayle, Claude Rains, Arthur Kennedy, Donald Wolfit, I.S. Johar, Michael Ray, Gamil Ratib, Michel Ray, Zia Mohyeddin, John Dimech, Howard Marion-Crawford, Jack Gwillim, Harry Fowler, Jack Hedley, Hugh Miller, Kenneth Fortescue, Stuart Saunders, Fernando Sancho, Henry Oscar, Norman Rossington, John Ruddock, M. Cher Kaoui, Mohammed Habachi",2013-04-02,Certified-Fresh,98.0,Upright,93.0,77641adf-a5dc-4475-9e3b-dd61c4e32951
235,Tom Jones,Tony Richardson,Winner,1963,129,"Adventure,Comedy,History",6.5,"Tom Jones (Albert Finney), a bastard foundling raised by the kindly Squire Allworthy (George Devine), loves the beautiful Sophie Western (Susannah York), but cannot marry her due to the difference in their stations. When the villainous Blifil (David Warner) tricks the squire into casting Tom out of his household, the young man goes forth into the world on a series of high-spirited adventures, including heroic swordfights, mistaken identities, good deeds and lusty women.","A frantic, irreverent adaptation of the novel, bolstered by Albert Finney's courageous performance and arresting visuals.",NR,Tony Richardson,"Albert Finney, Susannah York, Hugh Griffith, Edith Evans, Joan Greenwood, Diane Cilento, George Devine, David Tomlinson, Joyce Redman, George A. Cooper, Rosalind Atkinson, Angela Baddeley, Peter Bull, James Jackson, Rachel Kempson, Wilfrid Lawson, Rosalind Knight, Jack MacGowran, John Moffatt, Patsy Rowlands, David Warner, Redmond Phillips, Mark Dignam, Avis Bunnage, Lynn Redgrave, Jack Stewart, Michael Brennan, Michael MacLiammoir, Freda Jackson, James Cairncross, Julian Glover",2018-03-09,Fresh,82.0,Spilled,58.0,e96a144c-3f01-4f2f-a3ee-fc54bcd81df9
237,Cleopatra,Walter Wanger,Nominee,1963,192,"Biography,Drama,History",7.0,"""Cleopatra"" is a lengthy, sprawling, spectacular love story, helmed by Joseph L. Mankiewicz, depicting Cleopatra's manipulation of Julius Caesar and Marc Antony in her ill-fated attempt to save the Egyptian empire. This threesome in one of the most famous and gloriously powerful love triangles ever to be captured on film.","Cleopatra is a lush, ostentatious, endlessly eye-popping epic that sags collapses from a (and how could it not?) four-hour runtime.",G,Joseph L. Mankiewicz,"Elizabeth Taylor, Richard Burton, Rex Harrison, Roddy McDowall, Pamela Brown, George Cole, Hume Cronyn, Cesare Danova, Kenneth Haigh, Andrew Keir, Martin Landau, Robert Stephens, Francesca Annis, Grégoire Aslan, Martin Benson, Herbert Berghof, John Cairney, Isabelle Cooley, Jacqui Chan, Isabel Cooley, John Doucette, Andrew Faulds, Michael Gwynn, Michael Hordern, John Hoyt, Marne Maitland, Carroll O'Connor, Richard O'Sullivan, Gwen Watford, Douglas Wilmer, Marina Berti, John Karlsen, Loris Loddi, Jean Marsh, Gin Mart, Furio Meniconi, Kenneth Nash, Del Russell, John Valva, Marie Devereaux, Finlay Currie, John Alderton, Peter Forster, Jeremy Kemp, Laurence Naismith, Gesa Meiken, Marie Devereux, Michele Bally, Kathy Martin, Maria Badmajev, Maureen Lane, Simon Mizrahi, John Gayford",2012-09-18,Fresh,62.0,Upright,69.0,47a31f2d-67c9-4aa1-a336-6f30e4dc6c57
243,Mary Poppins,Walt Disney and Bill Walsh,Nominee,1964,139,"Comedy,Family,Fantasy",7.8,"When Jane (Karen Dotrice) and Michael (Matthew Garber), the children of the wealthy and uptight Banks family, are faced with the prospect of a new nanny, they are pleasantly surprised by the arrival of the magical Mary Poppins (Julie Andrews). Embarking on a series of fantastical adventures with Mary and her Cockney performer friend, Bert (Dick Van Dyke), the siblings try to pass on some of their nanny's sunny attitude to their preoccupied parents (David Tomlinson, Glynis Johns).","A lavish modern fairy tale celebrated for its amazing special effects, catchy songs, and Julie Andrews's legendary performance in the title role.",G,Robert Stevenson,"Julie Andrews, Dick Van Dyke, Glynis Johns, David Tomlinson, Ed Wynn, Hermione Baddeley, Matthew Garber, Reta Shaw, Karen Dotrice, Elsa Lanchester, Arthur Treacher, Reginald Owen, Jane Darwell, Arthur Malet, Don Barclay, Alma Lawton, Marjorie Eaton, Marjorie Bennett, Cyril Delevanti, Lester Matthews, Clive L. Halliday, Doris Lloyd, Sam Harris, James Logan, Dal McKennon, J. Pat O'Malley, Donald Barclay, Irwin Kostal",2015-11-22,Certified-Fresh,100.0,Upright,86.0,ef2ab197-e570-481a-8a5c-ecc33bbc59ce
245,The Sound of Music,Robert Wise,Winner,1965,172,"Biography,Drama,Family",8.0,"A tuneful, heartwarming story, it is based on the real life story of the Von Trapp Family singers, one of the world's best-known concert groups in the era immediately preceding World War II. Julie Andrews plays the role of Maria, the tomboyish postulant at an Austrian abbey who becomes a governess in the home of a widowed naval captain with seven children, and brings a new love of life and music into the home.","Unapologetically sweet and maybe even a little corny, The Sound of Music will win over all but the most cynical filmgoers with its classic songs and irresistible warmth.",G,Robert Wise,"Julie Andrews, Christopher Plummer, Eleanor Parker, Richard Haydn, Charmian Carr, Peggy Wood, Heather Menzies, Daniel Truhitte, Anna Lee, Duane Chase, Angela Cartwright, Debbie Turner, Kym Karath, Norma Varden, Nicholas Hammond, Portia Nelson, Ben Wright, Gilchrist Stuart, Marni Nixon, Evadne Baker, Doris Lloyd",2015-11-19,Certified-Fresh,83.0,Upright,91.0,457971a1-ae06-42ce-9ddd-17e9be9b32af
247,Doctor Zhivago,Carlo Ponti,Nominee,1965,197,"Drama,Romance,War",8.0,"During the Russian Revolution, Yuri Zhivago (Omar Sharif), is a young doctor who has been raised by his aunt and uncle following his father's suicide. Yuri falls in love with beautiful Lara Guishar (Julie Christie), who has been having an affair with her mother's lover, Victor Komarovsky (Rod Steiger), an unscrupulous businessman. Yuri, however, ends up marrying his cousin, Tonya (Geraldine Chaplin). But when he and Lara meet again years later, the spark of love reignites.","It may not be the best of David Lean's epics, but Dr. Zhivago is still brilliantly photographed and sweepingly romantic.",PG-13,David Lean,"Omar Sharif, Julie Christie, Rod Steiger, Geraldine Chaplin, Tom Courtenay, Alec Guinness, Siobhan McKenna, Emilio Carrer, Wolf Frees, José María Caffarel, Inigo Jackson, Bernard Kay, Geoffrey Keen, Klaus Kinski, Jack MacGowran, Gwen Nelson, Adrienne Corri, Jeffrey Rockland, Luana Alcaniz, Tarek Sharif, Gérard Tichy, Lucy Westmore, Noel Willman, Rita Tushingham, María Martín, Mercedes Ruiz, Virgilio Texeira, Erik Chitty, José Nieto, Mark Eden, Gerhard Jersch, Brigitte Trace, Lili Murati, Catherine Ellison, Maria Vico, Dodo Assad Bahador, Peter Madden, Roger Maxwell",2016-05-19,Certified-Fresh,84.0,Upright,88.0,cb1ae708-873b-4b2e-b0ea-57967782d566
250,A Man for All Seasons,Fred Zinnemann,Winner,1966,120,"Biography,Drama,History",7.7,"When the highly respected British statesman Sir Thomas More (Paul Scofield) refuses to pressure the Pope into annulling the marriage of King Henry VIII (Robert Shaw) and his Spanish-born wife, More's clashes with the monarch increase in intensity. A devout Catholic, More stands by his religious principles and moves to leave the royal court. Unfortunately, the King and his loyalists aren't appeased by this, and press forward with grave charges of treason, further testing More's resolve.",Solid cinematography and enjoyable performances from Paul Scofield and Robert Shaw add a spark to this deliberately paced adaptation of the Robert Bolt play.,G,Fred Zinnemann,"Paul Scofield, Wendy Hiller, Leo McKern, Robert Shaw, Susannah York, Nigel Davenport, Orson Welles, John Hurt, Corin Redgrave, Colin Blakely, Yootha Joyce, Anthony Nicholls, John Nettleton, Eira Heath, Molly Urquhart, Paul Hardwick, Michael Latimer, Philip Brack, Martin Boddey, Eric Mason, Matt Zinneman, Vanessa Redgrave, Cyril Luckham, Matt Zimmerman, Jack Gwillim, Thomas Heathcote",2012-04-16,Certified-Fresh,83.0,Upright,87.0,d9e00e8e-315d-4507-9eb2-bf89bde7779a
251,Alfie,Lewis Gilbert,Nominee,1966,114,"Comedy,Drama",7.0,"Set in postwar London, ""Alfie"" features Michael Caine as a chauffeur bent on promiscuity. After impregnating his girlfriend he takes off on vacation. He continues his life of womanizing, but he can't hide forever. A misfortune strikes and Alfie is forced to face the product of his ways.","Anchored by Michael Caine's charmingly droll performance, Alfie is an equally raucous and heart-rending portrait of romance in the Swinging '60s.",PG,Lewis Gilbert,"Michael Caine, Millicent Martin, Julia Foster, Shirley Ann Field, Vivien Merchant, Shelley Winters, Jane Asher, Eleanor Bron, Denholm Elliott, Alfie Bass, Graham Stark, Murray Melvin, Sydney Tafler, Julia Asher, Virginia Wetherell, Millicent Martin",2013-08-01,Fresh,96.0,Upright,76.0,cb3bba47-5662-4b6d-b6fe-fab2b97102ac
254,Who's Afraid of Virginia Woolf?,Ernest Lehman,Nominee,1966,131,Drama,8.0,"History professor George (Richard Burton) and his boozy wife, Martha (Elizabeth Taylor), return late one Saturday night from a cocktail party at the home of the college president, Martha's father. Martha announces that she invited another couple, newly appointed instructor Nick (George Segal) and his timid wife, Honey (Sandy Dennis), over for a nightcap. When the younger couple arrive, the night erupts into a no-holds-barred torrent of marital angst and verbal tirades.","Led by a volcanic performance from Elizabeth Taylor, Who's Afraid of Virginia Woolf? is a scathing adaptation of the Edward Albee play that serves as a brilliant calling card for debuting director Mike Nichols.",R,Mike Nichols,"Elizabeth Taylor, Richard Burton, George Segal, Sandy Dennis",2008-05-01,Certified-Fresh,95.0,Upright,91.0,34a129cf-eb80-461b-a6da-c8f46df67c60
255,In the Heat of the Night,Walter Mirisch,Winner,1967,110,"Crime,Drama,Mystery",7.9,"African-American Philadelphia police detective Virgil Tibbs (Sidney Poitier) is arrested on suspicion of murder by Bill Gillespie (Rod Steiger), the racist police chief of tiny Sparta, Mississippi. After Tibbs proves not only his own innocence but that of another man, he joins forces with Gillespie to track down the real killer. Their investigation takes them through every social level of the town, with Tibbs making enemies as well as unlikely friends as he hunts for the truth.","Tense, funny, and thought-provoking all at once, and lifted by strong performances from Sydney Poitier and Rod Steiger, director Norman Jewison's look at murder and racism in small-town America continues to resonate today.",G,Norman Jewison,"Rod Steiger, Sidney Poitier, Warren Oates, Lee Grant, James Patterson, Quentin Dean, Larry Gates, William Schallert, Anthony James, Scott Wilson, Beah Richards, Jack Teter, Matt Clark, Kermit Murdock, Khalil Bezaleel, Peter Whitney, William Watson, Timothy Scott, Michael LeGlaire, Larry D. Mann, Stuart Nisbet, Eldon Quick, Fred Stewart, Arthur Malet, Peter Masterson, Alan Oppenheimer, Philip Garris, Phil Garris, Jester Hairston, Clegg Hoyt, Phil Adams, Nikita Knatz, David Stinehart, Buzz Barton, Sammy Reese",2016-11-30,Certified-Fresh,95.0,Upright,92.0,467a1595-1c69-442d-ab43-92f68b932ddc
256,Bonnie and Clyde,Warren Beatty,Nominee,1967,111,"Action,Biography,Crime",7.8,"Small-time crook Clyde Barrow (Warren Beatty) tries to steal a car and winds up with its owner's daughter, dissatisfied small-town girl Bonnie Parker (Faye Dunaway). Their crimes quickly spiral from petty theft to bank robbery, but tensions between the couple and the other members of their gang--hapless driver C.W. (Michael J. Pollard), Clyde's suave older brother Buck (Gene Hackman) and Buck's flibbertigibbet wife, Blanche (Estelle Parsons) --could destroy them all.","A paradigm-shifting classic of American cinema, Bonnie and Clyde packs a punch whose power continues to reverberate through thrillers decades later.",R,Arthur Penn,"Warren Beatty, Faye Dunaway, Michael J. Pollard, Gene Hackman, Estelle Parsons, Denver Pyle, Dub Taylor, Gene Wilder, Evans Evans, James Stiver, Roy Heard, J.J. Lemmon Jr., Clyde Howdy, Joe Spratt, Garry Goodgion, James Stivers, Ken Mayer, Martha Adcock, Mabel Cavitt, Sadie French, Russ Marker, Ann Palmer",2008-08-15,Certified-Fresh,88.0,Upright,88.0,88b6470e-a145-47f2-b74a-3ba3266f2e4f
258,The Graduate,Lawrence Turman,Nominee,1967,106,"Comedy,Drama,Romance",8.0,"Benjamin Braddock (Dustin Hoffman) has just finished college and, back at his parents' house, he's trying to avoid the one question everyone keeps asking: What does he want to do with his life? An unexpected diversion crops up when he is seduced by Mrs. Robinson (Anne Bancroft), a bored housewife and friend of his parents. But what begins as a fun tryst turns complicated when Benjamin falls for the one woman Mrs. Robinson demanded he stay away from, her daughter, Elaine (Katharine Ross).","The music, the performances, the precision in capturing the post-college malaise -- The Graduate's coming-of-age story is indeed one for the ages.",PG,Mike Nichols,"Dustin Hoffman, Anne Bancroft, Katharine Ross, William Daniels, Simon and Garfunkel, Murray Hamilton, Elizabeth Wilson, Brian Avery, Norman Fell, Buck Henry, Walter Brooke, Elisabeth Fraser, Alice Ghostley, Marion Lorne, Mike Farrell, Harry Holcombe, Lainie Miller, Eddra Gale, Richard Dreyfuss, Jonathan Hole, John Neilson",2012-07-03,Certified-Fresh,87.0,Upright,90.0,da0bc2bf-7a48-44b7-be73-8e61624bc7b1
